"id","churnBinario","churnSimples","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
169,1,1.0,1.0,1.0,1.0,1.0
170,1,0.9705882353,0.9529411765,0.9921875,0.9984331298,0.8571428571428572
171,1,1.0,1.0,1.0,1.0,1.0
172,1,1.0,1.0,1.0,1.0,1.0
173,1,0.9705882353,0.9445378151,0.75,0.7674558421,0.5
174,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
175,1,1.0,1.0,1.0,1.0,1.0
176,1,1.0,1.0,1.0,1.0,1.0
177,0,0.5,0.6050420168,0.981556941,0.99548553,0.5
178,1,1.0,1.0,1.0,1.0,1.0
179,1,0.7941176471,0.8235294118,0.9687280643,0.9884220754,0.78125
180,1,0.9705882353,0.9714285714,0.9999961853,0.9999999738,0.9444444444444444
181,1,1.0,1.0,1.0,1.0,1.0
182,1,0.9411764706,0.9260504202,0.9990081787,0.9999217968,0.875
183,1,1.0,1.0,1.0,1.0,1.0
184,1,1.0,1.0,1.0,1.0,1.0
185,1,0.9117647059,0.9294117647,0.8749999977,0.9144517851,0.9032258064516129
186,1,0.9705882353,0.9680672269,0.9999847412,0.9999998066,0.9375
187,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
188,1,1.0,1.0,1.0,1.0,1.0
189,1,1.0,1.0,1.0,1.0,1.0
190,1,1.0,1.0,1.0,1.0,1.0
191,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
192,1,0.8529411765,0.9193277311,0.9999985079,0.9999999951,0.8484848484848485
193,1,1.0,1.0,1.0,1.0,1.0
194,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
195,1,0.8529411765,0.8453781513,0.9919738769,0.9984272915,0.8529411764705882
196,1,1.0,1.0,1.0,1.0,1.0
197,1,0.9411764706,0.9764705882,0.9999999842,1.0,0.9333333333333333
198,1,1.0,1.0,1.0,1.0,1.0
199,1,1.0,1.0,1.0,1.0,1.0
200,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
201,1,0.9117647059,0.9075630252,0.9960327111,0.9994221519,0.8928571428571429
202,1,1.0,1.0,1.0,1.0,1.0
203,1,0.9117647059,0.956302521,0.9999990421,0.9999999965,0.9032258064516129
204,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
205,1,0.9117647059,0.931092437,0.9990234058,0.9999219901,0.896551724137931
206,1,1.0,1.0,1.0,1.0,1.0
207,1,0.9411764706,0.9512605042,0.9997558575,0.9999894425,0.9310344827586207
208,1,0.9411764706,0.9478991597,0.9687499999,0.9884223081,0.9411764705882353
209,1,0.9117647059,0.981512605,0.9999999985,1.0,0.9090909090909091
210,1,0.9705882353,0.9462184874,0.875,0.9144517851,0.6666666666666667
211,1,1.0,1.0,1.0,1.0,1.0
212,1,1.0,1.0,1.0,1.0,1.0
213,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
214,1,0.8529411765,0.931092437,0.9999389311,0.9999985712,0.8529411764705882
215,1,1.0,1.0,1.0,1.0,1.0
216,1,1.0,1.0,1.0,1.0,1.0
217,1,0.9411764706,0.9109243697,0.9912109375,0.9983551199,0.8
218,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
219,1,0.9705882353,0.9831932773,0.9999999702,1.0,0.96
220,1,1.0,1.0,1.0,1.0,1.0
221,1,1.0,1.0,1.0,1.0,1.0
222,1,0.9411764706,0.956302521,0.9998779292,0.9999961161,0.935483870967742
223,1,1.0,1.0,1.0,1.0,1.0
224,1,1.0,1.0,1.0,1.0,1.0
225,1,0.8823529412,0.9529411765,0.9999990384,0.9999999965,0.8823529411764706
226,1,0.8823529412,0.9058823529,0.9687495152,0.9884223068,0.8709677419354839
227,1,0.8823529412,0.9445378151,0.9999961545,0.9999999738,0.8823529411764706
228,1,0.7352941176,0.7932773109,0.9941343649,0.9992114907,0.71875
229,1,0.9117647059,0.9193277311,0.9374980926,0.9685285609,0.9117647058823529
230,1,0.9705882353,0.981512605,0.9999999404,0.9999999999,0.9583333333333334
231,1,1.0,1.0,1.0,1.0,1.0
232,1,1.0,1.0,1.0,1.0,1.0
233,1,1.0,1.0,1.0,1.0,1.0
234,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
235,1,1.0,1.0,1.0,1.0,1.0
236,1,1.0,1.0,1.0,1.0,1.0
237,1,1.0,1.0,1.0,1.0,1.0
238,1,0.8529411765,0.931092437,0.9999988001,0.999999996,0.8484848484848485
239,1,1.0,1.0,1.0,1.0,1.0
240,1,0.9705882353,0.9915966387,0.9999999991,1.0,0.9666666666666667
241,1,0.9117647059,0.9294117647,0.874999985,0.9144517851,0.9117647058823529
242,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
243,1,1.0,1.0,1.0,1.0,1.0
244,1,0.5588235294,0.6134453782,0.6794137816,0.734406681,0.5454545454545454
245,1,0.8823529412,0.8672268908,0.9916381817,0.9984030028,0.8620689655172413
246,1,0.5588235294,0.5378151261,0.7933567533,0.8784003706,0.5588235294117647
247,1,0.9117647059,0.9277310924,0.9990224836,0.9999219866,0.90625
248,1,1.0,1.0,1.0,1.0,1.0
249,1,0.9411764706,0.9899159664,0.9999999994,1.0,0.9393939393939394
250,1,0.9411764706,0.9478991597,0.9999957085,0.9999999725,0.9047619047619048
251,1,1.0,1.0,1.0,1.0,1.0
252,1,0.9117647059,0.8924369748,0.8124999999,0.8829803557,0.9117647058823529
253,1,1.0,1.0,1.0,1.0,1.0
254,1,1.0,1.0,1.0,1.0,1.0
255,1,1.0,1.0,1.0,1.0,1.0
256,1,0.9411764706,0.9781512605,0.9999999916,1.0,0.9333333333333333
257,1,0.9411764706,0.9075630252,0.7498779297,0.7674519582,0.8461538461538461
258,1,1.0,1.0,1.0,1.0,1.0
259,1,1.0,1.0,1.0,1.0,1.0
260,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
261,1,1.0,1.0,1.0,1.0,1.0
262,1,1.0,1.0,1.0,1.0,1.0
