"casos_teste","ERROchurnBinario","ERROchurnSimples","ERROchurnLinear","ERROchurnExponencial_2","ERROchurnExponencial_e","ERROchurnRecente"
"01000",0.0,-0.2,-0.1333333333,-0.064516129,-0.0316849208,-0.25
"00100",0.0,-0.2,-0.2,-0.1290322581,-0.0861285444,-0.3333333333
"00010",1.0,0.8,0.7333333333,0.7419354839,0.7658783427,0.5
"00100",0.0,-0.2,-0.2,-0.1290322581,-0.0861285444,-0.3333333333
"01000",0.0,-0.2,-0.1333333333,-0.064516129,-0.0316849208,-0.25
