,True 13,True 14,True 15,True 16
138,21.25,21.25,21.25,21.25
139,14.76,14.76,14.76,14.76
140,18.1,18.1,18.1,18.1
141,47.59,47.59,47.59,47.59
142,35.55,35.55,35.55,35.55
143,14.703333333333333,14.703333333333333,14.703333333333333,14.703333333333333
144,26.98,26.98,26.98,26.98
145,12.21,12.21,12.21,12.21
146,50.7,50.7,50.7,50.7
147,17.88,17.88,17.88,17.88
148,24.29,24.29,24.29,24.29
149,9.56,9.56,9.56,9.56
150,17.46,17.46,17.46,17.46
151,46.42,46.42,46.42,46.42
152,19.48,19.48,19.48,29.93
153,23.44,23.44,23.44,23.44
154,21.225,21.225,21.225,21.225
155,31.35,31.35,31.35,31.35
156,10.47,10.47,8.14,8.14
157,28.535,28.535,28.535,28.535
158,16.896666666666665,16.896666666666665,16.896666666666665,16.896666666666665
159,0.0,11.25,11.25,11.25
160,0.0,0.0,0.0,19.21
161,11.28,11.28,11.28,11.28
162,10.44,10.44,10.44,10.44
163,0.0,0.0,10.16,10.16
164,25.425,25.425,25.425,25.425
165,0.0,0.0,41.48,41.48
166,0.0,17.19,17.19,17.19
167,29.69,29.69,29.69,29.69
168,0.0,23.025,19.743333333333336,19.743333333333336
169,44.41,44.41,44.41,44.41
170,4.6,4.6,4.6,4.6
171,11.68,11.68,11.68,11.68
172,10.285,10.285,10.285,10.285
173,19.09,19.09,24.119999999999997,24.119999999999997
174,16.06,16.06,16.06,16.06
175,5.24,5.24,5.24,5.24
176,0.0,0.0,45.55,45.55
177,28.96,28.96,28.96,28.96
178,12.37,12.37,12.37,12.37
179,15.36,15.36,15.36,15.36
180,0.0,46.05,46.05,46.05
181,38.15,38.15,38.15,38.15
182,20.25,20.25,20.25,20.25
183,11.58,11.58,11.58,11.58
184,28.625,28.625,28.625,28.625
185,15.25,15.25,15.25,15.25
186,8.18,8.18,8.18,8.18
187,9.23,9.23,9.23,9.23
188,21.1,21.1,21.1,21.1
189,53.81,53.81,53.81,53.81
190,26.35,26.35,26.35,26.35
191,43.17,43.17,43.17,43.17
192,18.793333333333333,18.793333333333333,18.793333333333333,18.793333333333333
193,20.7,20.7,20.7,20.7
194,19.84,19.84,19.84,19.84
195,21.270000000000003,21.270000000000003,21.270000000000003,21.270000000000003
196,10.32,24.245,24.245,24.245
197,28.4,28.4,28.4,28.4
198,0.0,0.0,0.0,16.83
199,18.17,18.17,18.17,18.17
200,13.16,13.16,13.16,13.16
201,40.290000000000006,40.290000000000006,40.290000000000006,40.290000000000006
202,0.0,0.0,40.38,40.38
203,0.0,0.0,0.0,51.45
204,25.24,25.24,25.24,25.24
205,24.6,24.6,24.6,24.6
206,10.79,10.79,10.79,10.79
207,15.736666666666665,15.736666666666665,15.736666666666665,15.736666666666665
208,12.77,12.77,12.77,12.77
209,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001
210,21.99,21.99,21.99,21.99
211,0.0,16.35,16.35,16.35
212,14.29,14.29,14.29,14.29
213,46.34,46.34,46.34,46.34
214,24.11,24.11,24.11,24.11
215,11.375,11.375,11.375,11.375
216,45.88,45.88,45.88,45.88
217,22.24,22.24,22.24,22.24
218,0.0,0.0,33.54,33.54
219,27.735,27.735,27.735,27.735
220,20.48,20.48,20.48,20.48
221,49.34,49.34,49.34,49.34
222,39.370000000000005,39.370000000000005,39.370000000000005,39.370000000000005
223,14.51,14.51,14.51,14.51
224,17.619999999999997,17.619999999999997,17.619999999999997,17.619999999999997
225,10.123333333333333,10.123333333333333,10.123333333333333,10.123333333333333
226,14.22,14.22,14.22,14.22
227,13.65,13.65,13.65,13.65
228,0.0,0.0,0.0,0.0
229,0.0,29.13,29.13,29.13
230,35.46,35.46,35.46,35.46
231,15.4,15.4,15.4,15.4
232,21.98,21.98,21.98,21.98
233,36.9,36.9,36.9,36.9
234,22.43,22.43,22.43,22.43
235,52.83,52.83,52.83,52.83
236,0.0,0.0,0.0,0.0
237,0.0,43.64,43.64,43.64
238,41.48,41.48,41.48,41.48
239,37.38,37.38,37.38,37.38
240,8.079999999999998,8.079999999999998,8.079999999999998,8.079999999999998
241,54.23,54.23,54.23,54.23
242,38.1,38.1,38.1,38.1
243,0.0,0.0,47.47,47.47
244,12.32,12.32,12.32,12.32
245,50.39,50.39,50.39,50.39
246,12.14,12.14,12.14,12.14
247,37.17,37.17,37.17,37.17
248,19.52,19.52,19.52,19.52
249,17.365,17.365,17.365,17.365
250,37.05,37.05,37.05,37.05
251,25.33,25.33,25.33,25.33
252,42.81,42.81,42.81,42.81
253,14.23,14.23,14.23,14.23
254,41.47,41.47,41.47,41.47
255,0.0,0.0,11.42,11.42
256,0.0,0.0,0.0,10.48
257,50.71,50.71,50.71,50.71
258,23.450000000000003,23.450000000000003,23.450000000000003,23.450000000000003
259,40.4,40.4,40.4,40.4
260,12.54,12.54,12.54,12.54
261,53.21,53.21,53.21,53.21
262,11.91,11.91,11.91,11.91
263,8.23,8.23,8.23,8.23
264,0.0,18.87,18.87,28.965000000000003
265,0.0,0.0,0.0,0.0
266,0.0,0.0,19.03,19.03
267,14.19,14.19,14.19,14.19
268,0.0,0.0,9.09,9.09
269,25.73,25.73,25.73,25.73
270,17.86,17.86,17.86,17.86
271,0.0,13.36,13.36,13.36
272,34.69,34.69,34.69,34.69
273,15.46,15.46,15.46,15.46
274,41.03,41.03,41.03,41.03
275,47.96,47.96,47.96,47.96
276,0.0,0.0,0.0,28.69
277,33.65,33.65,33.65,33.65
278,0.0,0.0,10.32,10.32
279,9.92,9.92,9.92,9.92
280,20.505000000000003,20.505000000000003,20.505000000000003,20.505000000000003
281,13.489999999999998,13.489999999999998,13.489999999999998,13.489999999999998
282,21.34,21.34,21.34,21.34
283,30.375,30.375,30.375,30.375
284,13.41,13.41,13.41,13.41
285,23.58,23.58,23.58,23.58
286,32.67,32.67,32.67,32.67
287,17.314999999999998,17.314999999999998,17.314999999999998,17.314999999999998
288,26.34,26.34,20.79,20.79
289,0.0,31.96,31.96,31.96
290,45.56,45.56,45.56,45.56
291,0.0,0.0,0.0,0.0
292,15.52,15.52,15.52,15.52
293,26.375,26.375,26.375,26.375
294,18.07,18.07,18.07,18.07
295,17.84,17.84,17.84,17.84
296,0.0,0.0,14.6,14.6
297,22.53,22.53,22.53,22.53
298,42.06,42.06,42.06,42.06
299,21.59,21.59,21.59,21.59
300,23.45,23.45,23.45,23.45
301,42.88,42.88,42.88,42.88
302,39.02,39.02,39.02,39.02
303,20.52,20.52,20.52,20.52
304,40.08,40.08,40.08,40.08
305,10.01,10.01,10.01,10.01
306,12.346666666666666,12.346666666666666,12.346666666666666,12.346666666666666
307,37.0,37.0,37.0,37.0
308,24.55,24.55,24.55,24.55
309,10.38,10.38,10.38,10.38
310,18.87,18.87,18.87,18.87
311,27.68,27.68,33.625,33.625
312,15.35,15.35,15.35,15.35
313,0.0,10.48,10.48,10.48
314,48.62,48.62,48.62,48.62
315,16.97,16.97,16.97,16.97
316,22.990000000000002,22.990000000000002,22.990000000000002,22.990000000000002
317,21.335,21.335,21.335,21.335
318,26.46,26.46,26.46,26.46
319,19.91,19.91,19.91,19.91
320,40.73,40.73,40.73,40.73
321,23.19,23.19,23.19,23.19
322,0.0,0.0,0.0,0.0
323,17.53,17.53,17.53,17.53
324,9.66,9.66,9.66,9.66
325,34.82,34.82,34.82,34.82
326,29.045,29.045,29.045,29.045
327,26.5,26.5,26.5,26.5
328,14.07,14.07,14.07,14.07
329,26.065,26.065,26.065,26.065
330,18.01,16.09,13.733333333333334,13.733333333333334
331,20.93,20.93,20.93,20.93
332,15.88,15.88,15.88,15.88
333,6.19,6.19,6.19,6.19
334,28.13,28.13,16.80333333333333,16.80333333333333
335,31.83,31.83,31.83,31.83
336,29.77,29.77,29.77,29.77
337,21.9,21.9,21.9,21.9
338,52.32,52.32,52.32,52.32
339,0.0,0.0,9.7,9.7
340,39.7,39.7,39.7,39.7
341,26.6,26.6,26.6,26.6
342,40.62,40.62,40.62,40.62
343,31.69,31.69,31.69,31.69
344,32.81,32.81,32.81,32.81
345,10.71,10.71,10.71,10.71
346,30.26,30.26,30.26,30.26
347,0.0,0.0,0.0,0.0
348,0.0,0.0,11.45,11.45
349,0.0,0.0,42.77,42.77
350,31.64,31.64,31.64,31.64
351,12.54,12.54,12.54,12.54
352,38.08,38.08,38.08,38.08
353,13.31,13.31,13.31,13.31
354,15.87,15.87,15.87,15.87
355,22.025,22.025,19.336666666666666,19.336666666666666
356,35.7,35.7,35.7,35.7
357,39.28,39.28,39.28,39.28
358,20.8,20.8,20.8,20.8
359,48.67,48.67,48.67,48.67
360,14.590000000000002,14.590000000000002,14.590000000000002,14.590000000000002
361,15.71,15.71,15.71,15.71
362,17.509999999999998,17.509999999999998,17.509999999999998,17.509999999999998
363,24.44,24.44,24.44,24.44
364,0.0,25.47,25.47,25.47
365,28.215,28.215,28.215,28.215
366,0.0,0.0,0.0,11.1
367,0.0,0.0,0.0,30.39
368,26.95,26.95,26.95,26.95
369,32.39,32.39,32.39,32.39
370,23.784999999999997,23.784999999999997,23.784999999999997,23.784999999999997
371,0.0,20.62,20.62,20.62
372,37.03,37.03,37.03,37.03
373,0.0,0.0,0.0,0.0
374,0.0,0.0,0.0,26.47
