"id_cliente","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente","resultado"
2378,0.29055684838628804,0.9915256193493404,0.9909244418371944,0.2894736842105263,"não churn"
576,0.3986774176277673,0.9972028952607918,0.9984027914968968,0.3947368421052632,"não churn"
704,0.2595679495198233,0.9970932664326392,0.9983667054373564,0.2565789473684211,"não churn"
3818,0.3001085355738229,0.9972028920763124,0.9984027914905744,0.2960526315789473,"não churn"
1972,0.37196388787935536,0.9989576857154432,0.9995494391644124,0.3684210526315789,"não churn"
2632,0.28391236277191795,0.9972024965981496,0.9984027845914646,0.27960526315789475,"não churn"
1539,0.3191520262814977,0.9989632077081216,0.9995497970381306,0.3157894736842105,"não churn"
2484,0.21019154563392867,0.9970927644862468,0.9983666975852202,0.2072368421052632,"não churn"
1695,0.3067307709979429,0.9973129790020728,0.9984238049848102,0.3026315789473684,"não churn"
793,0.3289553055952652,0.9989575790605189,0.9995494382112724,0.3256578947368421,"não churn"
1726,0.22705977299515334,0.9970928648302256,0.9983666985212029,0.2236842105263158,"não churn"
485,0.22130623103184469,0.9884168039628358,0.9879589254184148,0.22039473684210525,"não churn"
2177,0.4575208747403887,0.9989577363040748,0.9995494395090609,0.4539473684210527,"não churn"
2357,0.3454355933259937,0.9970932664327379,0.9983667054373564,0.34210526315789475,"não churn"
2881,0.272896339559802,0.9970864385570268,0.9983663209106224,0.2697368421052632,"não churn"
9635,0.3948926904238246,0.9970932164612204,0.9983667048458142,0.3914473684210527,"não churn"
652,0.31005585713282235,0.9972024903760552,0.9984027845743372,0.3059210526315789,"não churn"
1844,0.4211924364977625,0.9989576794443092,0.9995494391472696,0.4177631578947368,"não churn"
1926,0.26679410034465395,0.9969832393797454,0.9983456972788604,0.2631578947368421,"não churn"
3510,0.3451512288749497,0.9954489142083908,0.9964325599793394,0.34210526315789475,"não churn"
1276,0.2475479471465741,0.9972032934763452,0.9984028033743474,0.2434210526315789,"não churn"
2393,0.24675493254282865,0.9969831389957546,0.9983456963428632,0.2434210526315789,"não churn"
435,0.47474725677888696,0.9990677635205624,0.9995704476676616,0.4671052631578948,"não churn"
192,0.4587147231032698,0.9990677792090707,0.9995704477540412,0.4506578947368421,"não churn"
2122,0.2638709752500896,0.997279029364352,0.9984205841753508,0.25,"não churn"
1637,0.33054307658327603,0.9989852297059694,0.9995543247861238,0.3190789473684211,"não churn"
2087,0.3866708061898876,0.9990401930374936,0.9995676041306776,0.375,"não churn"
764,0.4522561213525557,0.9990677792090712,0.9995704477540412,0.4440789473684211,"não churn"
3592,0.393179489006783,0.9990400425545644,0.9995676001032217,0.3815789473684211,"não churn"
3871,0.3770465569761559,0.9990677790129968,0.9995704477539258,0.3684210526315789,"não churn"
3487,0.3348615576152338,0.9989302161825384,0.9995465963165164,0.3223684210526316,"não churn"
1493,0.39859965724891344,0.9989852313740788,0.9995543247884864,0.3881578947368421,"não churn"
374,0.40171180200630185,0.9990656416643352,0.9995703886640356,0.3914473684210527,"não churn"
1730,0.3159290942504609,0.999067348441702,0.9995704407039546,0.3059210526315789,"não churn"
2379,0.3655906786362325,0.999065842249462,0.9995703912082248,0.35526315789473684,"não churn"
2925,0.3510738358767507,0.9989303684307548,0.9995465985188496,0.33881578947368424,"não churn"
1628,0.3397680163310581,0.9989852297075491,0.9995543247861238,0.32894736842105265,"não churn"
866,0.2820828056727943,0.9990400424313518,0.9995676001031732,0.2697368421052632,"não churn"
1338,0.2266047541167865,0.9990358253842088,0.9995673400634362,0.2138157894736842,"não churn"
1979,0.40975399028379583,0.9990675656847376,0.99957044330202,0.4013157894736841,"não churn"
346,0.26791928672613186,0.9990592151475786,0.999570011053324,0.2565789473684211,"não churn"
1909,0.2891023514935599,0.9990677758758142,0.999570447747619,0.27960526315789475,"não churn"
2099,0.35967161154377136,0.99552719788731,0.996450463060918,0.34868421052631576,"não churn"
