"id_cliente","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente","resultado"
2378,0.3068438422789648,0.2989811383164125,0.2485975077038749,0.2871287128712872,"não churn"
576,0.37567309362515205,0.6652375557778839,0.7308968519032261,0.3927392739273927,"não churn"
704,0.25974900121591105,0.534366973021012,0.6439936529282679,0.2541254125412541,"não churn"
3818,0.3049331248914365,0.5343669734884939,0.6439936529283272,0.2937293729372937,"não churn"
1972,0.3644910543685948,0.5500204682339869,0.6482533566597909,0.3663366336633663,"não churn"
2632,0.28519628278617337,0.5499900661380138,0.6482528312085323,0.27722772277227725,"não churn"
1539,0.2970079902727115,0.7827512025838587,0.8763496783556398,0.31353135313531355,"não churn"
2484,0.20681344450234496,0.5333865960429346,0.6439156168845834,0.20462046204620465,"não churn"
1695,0.2424439812402293,0.2998715676658662,0.2486725721198232,0.3003300330033003,"não churn"
793,0.3252562098315095,0.5343669734894018,0.6439936529283272,0.32343234323432346,"não churn"
1726,0.22240316136876848,0.5343059376173226,0.643992224127558,0.22112211221122116,"não churn"
485,0.21261073475768635,0.047945030528385835,0.01591686064395148,0.2178217821782178,"não churn"
2177,0.4559232239013376,0.8005127392699259,0.8808262392329976,0.4521452145214522,"não churn"
2357,0.3397168664234844,0.5343670032889974,0.6439936529521906,0.33993399339933994,"não churn"
2881,0.2604655202362341,0.5314335008442923,0.6437035640846309,0.2673267326732673,"não churn"
9635,0.3745440333507035,0.041707195843647134,0.013390849118850134,0.3894389438943895,"não churn"
652,0.3049548375890221,0.5343667648715267,0.6439936524728813,0.30363036303630364,"não churn"
1844,0.4090889352093104,0.04904593229102816,0.016054804675451173,0.4158415841584159,"não churn"
1926,0.2607912107000173,0.5341838680206535,0.643988340244693,0.2607260726072608,"não churn"
3510,0.2992226854264374,0.5323638990830802,0.6437803378458533,0.33993399339933994,"não churn"
1276,0.22038388049331248,0.5333901721051612,0.6439156425746346,0.2409240924092409,"não churn"
2393,0.2354742053152684,0.533268370229056,0.643911759194898,0.2409240924092409,"não churn"
435,0.4374139400695036,0.5187744542927857,0.6366756911775056,0.4635761589403974,"não churn"
