"id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente","Media_Intervalos"
2378,0.3068438422789648,0.2989811383164125,0.2485975077038749,0.28712871287128716,1.397196261682243
576,0.375673093625152,0.6652375557778839,0.7308968519032261,0.3927392739273927,1.6483516483516483
704,0.25974900121591105,0.534366973021012,0.643993652928268,0.2541254125412541,1.3392857142857142
3818,0.30493312489143654,0.534366973488494,0.6439936529283272,0.29372937293729373,1.4150943396226414
1972,0.36449105436859475,0.5500204682339869,0.6482533566597909,0.36633663366336633,1.563157894736842
2632,0.28519628278617337,0.5499900661380138,0.6482528312085323,0.27722772277227725,1.3824884792626728
1539,0.2970079902727115,0.7827512025838587,0.8763496783556398,0.31353135313531355,1.4368932038834952
2484,0.20681344450234496,0.5333865960429346,0.6439156168845834,0.20462046204620465,1.2552301255230125
1695,0.24244398124022926,0.2998715676658662,0.2486725721198232,0.3003300330033003,1.4333333333333333
793,0.3252562098315095,0.5343669734894018,0.6439936529283272,0.32343234323432346,1.4630541871921183
1726,0.22240316136876848,0.5343059376173226,0.643992224127558,0.22112211221122113,1.2820512820512822
485,0.21261073475768633,0.047945030528385835,0.01591686064395148,0.2178217821782178,1.2765957446808511
2177,0.45592322390133755,0.8005127392699259,0.8808262392329976,0.4521452145214522,1.8048780487804879
2357,0.3397168664234844,0.5343670032889974,0.6439936529521906,0.33993399339933994,1.5151515151515151
2881,0.26046552023623415,0.5314335008442923,0.6437035640846309,0.26732673267326734,1.3636363636363635
9635,0.3745440333507035,0.04170719584364713,0.013390849118850134,0.3894389438943895,1.644808743169399
652,0.3049548375890221,0.5343667648715267,0.6439936524728813,0.30363036303630364,1.4354066985645932
1844,0.40908893520931044,0.04904593229102816,0.016054804675451173,0.4158415841584159,1.7028571428571428
1926,0.2607912107000173,0.5341838680206535,0.643988340244693,0.2607260726072608,1.3513513513513513
3510,0.2992226854264374,0.5323638990830802,0.6437803378458533,0.33993399339933994,1.5101010101010102
1276,0.22038388049331248,0.5333901721051612,0.6439156425746346,0.24092409240924095,1.3157894736842106
2393,0.23547420531526841,0.533268370229056,0.643911759194898,0.24092409240924095,1.3157894736842106
435,0.4374139400695036,0.5187744542927857,0.6366756911775056,0.4635761589403974,1.8633540372670807
192,0.4182895110703123,0.7998679958273329,0.8807931052604155,0.4470198675496688,1.8012048192771084
2122,0.24258518567088494,0.00203550844162792,0.00021371144759463334,0.2450331125827815,1.3259911894273129
1637,0.30605643345791533,0.5343631883443493,0.6439936267827711,0.3145695364238411,1.4563106796116505
2087,0.35999825148077724,0.1279948074662428,0.08583973304058479,0.3708609271523179,1.5925925925925926
764,0.3926299914759688,0.5499900659061212,0.6482528312085105,0.4403973509933775,1.7857142857142858
3592,0.3740519747338973,0.6593822637106029,0.7295420611885005,0.3774834437086093,1.6042780748663101
3871,0.3366336633663366,0.5499938808352759,0.6482528573779296,0.36423841059602646,1.5706806282722514
3487,0.31919218411907413,0.5011753239978901,0.6322040754368894,0.3178807947019867,1.4634146341463414
1493,0.36458811444058314,0.6593784489689976,0.7295420350191015,0.3841059602649006,1.6216216216216217
374,0.35726619019517847,0.549991854161822,0.6482528475744046,0.38741721854304634,1.6304347826086956
1730,0.2784298297379407,0.5031188808088739,0.6324159706658607,0.30132450331125826,1.4285714285714286
2379,0.34397744410202613,0.5342449329774034,0.6439897690692442,0.3509933774834437,1.5384615384615385
2925,0.35217362795882234,0.6662191530059157,0.7310309250664935,0.3344370860927153,1.5
1628,0.3119358293445239,0.5332683332244471,0.6439117591678272,0.32450331125827814,1.477832512315271
866,0.23065154197538962,0.5343631510923539,0.6439936267556781,0.26490066225165565,1.3574660633484164
1338,0.15955237907896747,0.000980623095529376,7.803652626137136e-05,0.20860927152317876,1.2647058823529411
1979,0.3555176709723953,0.5334227495187123,0.643916178156227,0.3973509933774835,1.6574585635359116
346,0.209997158656263,0.5031130388670741,0.6324159346928717,0.2516556291390728,1.3333333333333333
1909,0.2372959150219658,0.5333902915318166,0.6439156428776529,0.2748344370860927,1.3761467889908257
2099,0.34443643039800664,0.6256144351016959,0.7177013824818634,0.3443708609271523,1.5228426395939085
3760,0.3652438091491268,0.6348927975709744,0.7194516108959452,0.3708609271523179,1.5873015873015872
5270,0.24258518567088494,0.6271517580917882,0.717886333075143,0.2549668874172185,1.3392857142857142
2926,0.19716739885909118,0.533325434225848,0.643914187904338,0.23509933774834435,1.3043478260869565
1699,0.3788822590868358,0.5343669734894284,0.6439936529283272,0.3973509933774835,1.6574585635359116
3909,0.18245798089742749,0.5333292489231101,0.6439142140737355,0.22516556291390732,1.2875536480686696
1731,0.37359298843791666,0.6660961308825829,0.7310270376423413,0.4072847682119205,1.6853932584269662
11265,0.2902104780014425,0.018740058456478303,0.004554580487074467,0.29801324503311255,1.4265402843601895
2519,0.2522716771908209,0.0021402915299461034,0.00021739215944649448,0.2857142857142857,1.4018691588785046
1481,0.31537259906272685,0.5342449030523028,0.6439897690453669,0.3322259136212624,1.495
10364,0.20008360652130863,0.0019533636514401653,0.00021205330314677528,0.23588039867109634,1.3100436681222707
4034,0.3285516270269081,0.26870936552635005,0.23709783483432278,0.33554817275747506,1.5075376884422111
401,0.2510615828034587,0.033329375118232085,0.011793655424676253,0.26578073089700993,1.3636363636363635
2330,0.3133924446106796,0.5343667348352653,0.6439936524489962,0.3388704318936877,1.5101010101010102
1806,0.29715517810389214,0.00311315879122831,0.00029537604072338297,0.32558139534883723,1.4851485148514851
3834,0.21174451607225364,0.034302115470383865,0.011871639126373457,0.2325581395348837,1.3043478260869565
1222,0.2683549316846714,0.00012219722248307807,3.884062526049448e-06,0.30564784053156147,1.4423076923076923
212,0.277749664473829,0.016723759719783127,0.004341088759269418,0.2724252491694352,1.3761467889908257
1019,0.22529757321071042,0.0010377541184444228,7.943887843298025e-05,0.23920265780730898,1.3157894736842106
459,0.8871972013817078,1.0,1.0,0.8372093023255813,4.479166666666667
456,0.3351301401509318,0.1416799223662526,0.08988705156438925,0.3289036544850499,1.492537313432836
772,0.20912631185232444,6.119161940898454e-05,1.4290041089326522e-06,0.2259136212624585,1.293103448275862
11295,0.17810389210358413,0.0009784996509570876,7.801952537089818e-05,0.20598006644518274,1.2605042016806722
1536,0.2929125138427464,0.12603775669509965,0.08562765374770032,0.30666666666666664,1.4444444444444444
2676,0.22476190476190472,0.5010377247818402,0.6321999976831865,0.22666666666666668,1.29004329004329
2970,0.421483942414175,0.6670688783427343,0.7311050213472172,0.4,1.664804469273743
1179,0.4454485049833887,0.7687704086279777,0.8692198224668581,0.4666666666666667,1.8679245283018868
2425,0.35601328903654483,0.6416646617144918,0.7220074170253641,0.33333333333333337,1.4974874371859297
280,0.3075526024363233,0.6259957929144716,0.717747003311654,0.30333333333333334,1.4326923076923077
4055,0.36035437430786266,0.6651163499775719,0.7308929714094801,0.35,1.5360824742268042
3704,0.32287929125138426,0.657413878041558,0.7293298149971015,0.33666666666666667,1.505050505050505
9307,0.17514950166112953,0.5000648498826782,0.6321220137986441,0.19333333333333336,1.2365145228215768
5065,0.43227021040974534,0.806250671508086,0.8821771756476381,0.4033333333333333,1.6685393258426966
5891,0.25089700996677744,0.6640826841176165,0.7308135590797342,0.2566666666666667,1.3423423423423424
477,0.234640088593577,0.531315088890555,0.6436997061676694,0.22333333333333338,1.2844827586206897
1000,0.25532668881506093,0.5322896244761676,0.6437776991967528,0.2366666666666667,1.3070175438596492
1750,0.30604651162790697,0.6592411182801413,0.7295379577685956,0.28,1.386046511627907
2023,0.26086378737541527,0.5332683702291131,0.643911759194898,0.24,1.3127753303964758
1649,0.6342857142857143,0.9255289872488599,0.9663746510360317,0.6,2.4873949579831933
6473,0.22221483942414177,0.5078583958243286,0.6336881482095641,0.2466666666666667,1.3244444444444445
163,0.3970985603543743,0.666202942527907,0.7310307281581502,0.3933333333333333,1.6464088397790055
2670,0.2563012181616833,0.5333865960155928,0.6439156168845824,0.24,1.3127753303964758
2566,0.7562790697674419,0.9332193871340375,0.9679376373403338,0.76,4.169014084507042
1127,0.33661129568106307,0.5498699031760225,0.6482489638678001,0.30000000000000004,1.4258373205741626
9,0.34442967884828346,0.40877277652368205,0.32991246817280095,0.33333333333333337,1.5025125628140703
1144,0.28914728682170543,0.5343631585420233,0.6439936267589077,0.31333333333333335,1.4536585365853658
443,0.2994241417497231,0.533390410741107,0.643915643053981,0.31999999999999995,1.4679802955665024
4296,0.3454042081949059,0.6357624625453212,0.7195259301677295,0.33666666666666667,1.505050505050505
2902,0.32797342192691026,0.5499919734867035,0.6482528477507464,0.29333333333333333,1.4123222748815165
3693,0.26185061315496094,0.5333902916555123,0.6439156428776611,0.24080267558528423,1.3141592920353982
2070,0.27763656633221856,0.5411988594860911,0.6454824866168232,0.28093645484949836,1.3878504672897196
4078,0.3439464882943144,0.6671813808234827,0.7311087476353708,0.34448160535117056,1.523076923076923
1843,0.2354515050167224,0.03326834042952098,0.011791200342477048,0.23076923076923073,1.3013100436681222
2714,0.32680044593088076,0.6661732873545285,0.7310298283897426,0.33444816053511706,1.5
1675,0.3141360089186176,0.5343669734875275,0.6439936529283273,0.3177257525083612,1.4630541871921183
5868,0.33908584169453737,0.5010719895659066,0.6322005493642343,0.39799331103678925,1.6592178770949721
2574,0.32084726867335567,0.5333904035215425,0.6439156430507731,0.3311036789297659,1.4924623115577889
1805,0.26158305462653286,0.7843669101421293,0.8765378107496544,0.34782608695652173,1.5257731958762886
3007,0.27179487179487183,0.5324138484875846,0.6437816001045114,0.2575250836120402,1.3438914027149322
862,0.34755852842809365,0.7999938843277941,0.8807970153139256,0.35451505016722407,1.5416666666666667
2434,0.3802006688963211,0.6584057011960494,0.7294640513141759,0.36789297658862874,1.5797872340425532
1132,0.28367892976588627,0.04892385429420576,0.01605092078925352,0.29096989966555187,1.4123222748815165
4484,0.3358082497212932,0.7520450765878801,0.8648787246982301,0.3846153846153846,1.6174863387978142
3514,0.4257079152731327,0.8000244021387497,0.880797540940346,0.43143812709030105,1.7514792899408285
943,0.4312151616499442,0.2980694293965258,0.24846491972565676,0.4448160535117057,1.8060606060606061
465,0.2353177257525083,0.5333904107420192,0.643915643053981,0.23745819397993306,1.3083700440528634
3983,0.3881382385730212,0.7843994021414232,0.8765383461179269,0.39799331103678925,1.6536312849162011
9265,0.1662876254180602,0.03436315087407149,0.011873067927083536,0.1906354515050167,1.2365145228215768
411,0.2602410720298085,0.5021366277069926,0.6323379250192351,0.2651006711409396,1.3577981651376148
890,0.35164193845256,0.6749938803724035,0.7338010722466193,0.3523489932885906,1.5416666666666667
982,0.21638122601063947,0.5333904107392907,0.643915643053981,0.23154362416107388,1.2982456140350878
627,0.2810711319611232,0.5343650661407423,0.6439936363861132,0.2785234899328859,1.3831775700934579
3960,0.4532109268029898,0.8000243425227382,0.8807975408288851,0.47986577181208057,1.9155844155844155
2256,0.2944266121972571,0.5343667348225324,0.6439936524489959,0.30201342281879195,1.429951690821256
2429,0.292630917375592,0.049990066138042244,0.0161322723799745,0.3221476510067114,1.4776119402985075
8051,0.2375030863504748,0.04999388060520216,0.016132298549350277,0.25838926174496646,1.35
2241,0.2688828533590716,0.049991973253842636,0.016132288922167004,0.30201342281879195,1.434782608695652
7753,0.2604430876972459,0.5001411754947933,0.6321246622723488,0.28523489932885904,1.3962264150943395
830,0.33078943233597446,0.5499920025931752,0.6482528477745289,0.36241610738255037,1.566137566137566
2647,0.26407936971111756,0.5499919727881813,0.6482528477506655,0.2986577181208053,1.4230769230769231
1830,0.4456016699961841,0.7998985767340252,0.8807936309528697,0.4395973154362416,1.7771084337349397
4240,0.2778613274673969,0.5499920030279704,0.648252847774587,0.3120805369127517,1.4509803921568627
1965,0.27200287311171467,0.5175819403230028,0.6365918326442588,0.3221476510067114,1.472636815920398
5622,0.14224147606114346,0.03339040282395833,0.011795084222134378,0.12416107382550334,1.1423076923076922
1477,0.4117752687930686,0.7999023278699213,0.8807936570561898,0.41946308724832215,1.7151162790697674
1006,0.22589840856546428,0.50305569967901,0.6324145317586596,0.2684563758389261,1.3640552995391706
244,0.27325985948688025,0.5499919727890908,0.6482528477506655,0.2986577181208053,1.4230769230769231
9188,0.3295099997755382,0.5490154035388229,0.6481748378731926,0.32885906040268453,1.4874371859296482
2884,0.27539224708760746,0.6593021234012365,0.7295404128269689,0.30201342281879195,1.429951690821256
1134,0.3593409800004489,0.7848571655650337,0.8765665187204784,0.3825503355704698,1.6120218579234973
1601,0.47915871697604995,0.7687134265885107,0.8692184203148768,0.5,1.9932432432432432
2220,0.21413660748355812,0.5333904107420189,0.643915643053981,0.2516778523489933,1.3333333333333333
813,0.2734618751543175,0.6652415120361788,0.7308968783962386,0.28523489932885904,1.3962264150943395
2585,0.3621916455298422,0.6671955982838684,0.7311089347649349,0.3489932885906041,1.5336787564766838
2861,0.24084756795582596,0.5333904107420191,0.643915643053981,0.28523489932885904,1.3962264150943395
2342,0.3116203901147,0.5031169734866751,0.6324159610386786,0.3422818791946308,1.5179487179487179
2763,0.2559314044578124,0.5401615302998977,0.6453470153698384,0.2651006711409396,1.3577981651376148
1944,0.22509208415248683,0.03143334438209444,0.011583005052652195,0.2828282828282829,1.3962264150943395
1966,0.19948930016044109,0.03387856533123945,0.011823782274837713,0.2289562289562289,1.2982456140350878
2293,0.2974487605360089,0.0333904109884372,0.011795084225445174,0.33333333333333337,1.50253807106599
2543,0.27966465550358166,0.5333904405416129,0.6439156430778443,0.29292929292929293,1.4114832535885167
1801,0.1541590400650803,0.00012207080908765988,3.883883006428057e-06,0.18181818181818177,1.2231404958677685
11013,0.19501502722979236,0.033222468600801136,0.011789964753618487,0.24242424242424243,1.3214285714285714
2423,0.2846586672090028,0.6583291592860441,0.729462428663329,0.32996632996633,1.4898989898989898
142,0.24041307933925382,0.5313723092276653,0.6437021350805221,0.29292929292929293,1.4114832535885167
3424,0.18518518518518523,0.00012233854795518084,3.8843861192017215e-06,0.22558922558922556,1.2925764192139737
539,0.35846157322667394,0.27556160653334705,0.23858689234229147,0.4175084175084175,1.7209302325581395
3554,0.28791268388583824,0.010391565163673788,0.0018116990824772472,0.2794612794612794,1.3896713615023475
979,0.18904932998892732,0.002563714981080212,0.0002446354150434926,0.2222222222222222,1.2869565217391303
3374,0.4971414367387522,0.26025408692935725,0.234351779440362,0.4511784511784511,1.8271604938271604
3545,0.22473052674394955,0.000122189647301707,3.884059282310837e-06,0.265993265993266,1.3640552995391706
3047,0.3958601676722482,0.2686485171294407,0.2370953801697957,0.4242424242424242,1.7411764705882353
96,0.15770682213635234,0.0001221001148223877,3.8839068097207274e-06,0.19528619528619529,1.2436974789915967
461,0.2244819560255802,0.031864293415311384,0.011610300350582414,0.26262626262626265,1.3577981651376148
3026,0.35794183445190153,0.1671909489960567,0.09898834640165677,0.3535353535353535,1.549738219895288
3593,0.2951438320565838,0.13391128393414153,0.08719697903778167,0.32659932659932656,1.4874371859296482
128,0.2688370188370188,0.008317152039127862,0.0015957655527306658,0.28378378378378377,1.3981042654028435
3787,0.20293020293020292,0.001098759472372035,8.189393682800361e-05,0.22635135135135132,1.293859649122807
3691,0.38427063427063424,0.6574155467253909,0.7293298241449374,0.3918918918918919,1.6424581005586592
1054,0.35126035126035127,0.6651765501737988,0.7308954231263635,0.3581081081081081,1.5555555555555556
2433,0.3968513968513968,0.550020587441486,0.6482533568361188,0.3918918918918919,1.6424581005586592
4937,0.24340249340249343,0.13379005529289512,0.08719309852335755,0.22297297297297303,1.2882096069868996
2124,0.17990717990717986,6.116181617699112e-05,1.4289802453548717e-06,0.20270270270270274,1.2553191489361701
322,0.22140322140322144,0.03228772431617888,0.011657130744218258,0.2364864864864865,1.3111111111111111
3168,0.3227090727090727,0.034366995838360004,0.011873094120403382,0.3445945945945946,1.528497409326425
4355,0.30248430248430247,0.13493851063693296,0.08733177099487743,0.29391891891891897,1.4182692307692308
2396,0.3382700882700883,0.5010434471060761,0.6322000334797905,0.3648648648648649,1.572192513368984
1678,0.31984256984256987,0.626039662166738,0.7177482222030036,0.30405405405405406,1.4341463414634146
925,0.3932568932568933,0.1729488790018403,0.10146510170717149,0.3614864864864865,1.5691489361702127
1005,0.20904995904995904,6.500681138277287e-05,1.4551735664225518e-06,0.21283783783783783,1.271551724137931
2110,0.42622167622167617,0.6328937212632195,0.7192372959912187,0.45270270270270274,1.826086956521739
697,0.3439120939120939,0.6572933595599066,0.7293259400861604,0.32770270270270274,1.4848484848484849
1366,0.2758212758212758,0.532230735568254,0.6437762874176477,0.25,1.330316742081448
3117,0.4176676676676677,0.6642660295265341,0.7308188722430637,0.43581081081081086,1.7710843373493976
1050,0.25721175721175726,0.5010415395227653,0.6322000238525853,0.2398648648648649,1.3125
2242,0.3826326326326326,0.7984070300736401,0.8806097769010238,0.3445945945945946,1.5181347150259068
562,0.2846482846482846,0.2602742637173645,0.2343520028454611,0.28378378378378377,1.3981042654028435
