"","id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
0,2378,0.36329966853923845,0.4474566582980072,0.35134810968127705,0.34636871508379885
1,576,0.44782994351161665,0.4193472045129857,0.33190636150788944,0.45251396648044695
2,704,0.31913602340455327,0.38709677419343436,0.3202502016890053,0.3072625698324022
3,3818,0.3861284449354975,0.41935385427167327,0.33190642907937684,0.36592178770949724
4,1972,0.4277711208975895,0.3870987354443527,0.3202502113782556,0.4301675977653632
5,2632,0.344143415135152,0.38709677052834124,0.32025020168782015,0.3184357541899442
6,1539,0.32946888470456415,0.1389830764456974,0.08791557987283594,0.34078212290502796
7,2484,0.24442507897480592,0.262096766742964,0.23470198681702703,0.22905027932960897
8,1695,0.2981279469662782,0.439892185970461,0.34979182324429015,0.3268156424581006
9,793,0.35419616874931914,0.3870967741935484,0.3202502016890053,0.34916201117318435
10,1726,0.2731361167737819,0.3870966549841448,0.32025020151267725,0.25698324022346364
11,485,0.2973498700611569,0.12738651596408546,0.08577617438334639,0.2905027932960894
12,2177,0.5066681190768896,0.4516129032239873,0.3519351224851296,0.494413407821229
13,2357,0.3856304757162198,0.41834677046825786,0.331827893577466,0.3798882681564246
14,2881,0.3048505314265262,0.37927282265117057,0.318683234169469,0.3044692737430168
15,9635,0.4225113210189695,0.2855657722506182,0.2447133376896503,0.43854748603351956
16,652,0.34311635362039183,0.3870967702354843,0.3202502016877955,0.34636871508379885
17,1844,0.471545727579714,0.38319058199563316,0.31967378241547273,0.4776536312849162
18,1926,0.2935528547641649,0.3870966549842588,0.32025020151267725,0.2988826815642458
19,3510,0.3651203684972223,0.3869688809029521,0.3202462561405327,0.4078212290502793
20,1276,0.28121255504894105,0.38709295926322473,0.3202501755195861,0.3016759776536313
21,2393,0.32783492320380947,0.26209653204967864,0.23470198633975925,0.33798882681564246
22,435,0.49647121418399764,0.4494156375935302,0.3517125121728767,0.5182072829131652
23,192,0.448351407602147,0.2640515643983703,0.2349140487907584,0.4789915966386554
24,2122,0.35045303037416087,0.3751603787944875,0.3180968536535218,0.3529411764705882
25,1637,0.36664945307732033,0.41834677046825774,0.3318278935774659,0.37254901960784315
