"casos_teste","ERROchurnBinario","ERROchurnSimples","ERROchurnLinear","ERROchurnExponencial_2","ERROchurnExponencial_e","ERROchurnRecente"
"100",0.0,-0.3333333333,-0.1666666667,-0.1428571429,-0.0900305732,-0.3333333333
"010",0.0,-0.3333333333,-0.3333333333,-0.2857142857,-0.2447284711,-0.5
"001",1.0,0.6666666667,0.5,0.4285714286,0.3347590442,0.0
"110",0.0,0.3333333333,0.5,0.5714285714,0.6652409558,0.3333333333
"011",0.0,0.3333333333,0.1666666667,0.1428571429,0.0900305732,0.0
"101",0.0,0.3333333333,0.3333333333,0.2857142857,0.2447284711,0.3333333333
"111",0.0,0.0,0.0,0.0,0.0,0.0
"000",0.0,0.0,0.0,0.0,0.0,0.0
