"id","churn"
"1",0.9722222222
"2",0.9722222222
"3",0.5555555556
"4",0.6944444444
"5",0.5555555556
"6",0.9722222222
"7",0.6388888889
"8",0.3888888889
"9",0.6944444444
"10",0.9722222222
"11",0.7222222222
"12",0.9722222222
"13",0.9722222222
"14",0.9722222222
"15",0.9722222222
"16",0.7777777778
"17",0.9722222222
"18",0.9722222222
"19",0.8888888889
"20",0.9722222222
"21",0.9722222222
"22",0.9722222222
"23",0.9722222222
"24",0.8055555556
"25",0.2222222222
"26",0.9722222222
"27",0.9722222222
"28",0.9722222222
"29",0.3611111111
"30",0.9722222222
"31",0.5555555556
"32",0.7777777778
"33",0.2222222222
"34",0.9722222222
"35",0.8611111111
"36",0.9722222222
"37",0.4166666667
"38",0.9722222222
"39",0.7222222222
"40",0.3055555556
"41",0.9722222222
"42",0.9722222222
"43",0.6111111111
"44",0.8888888889
"45",0.9722222222
"46",0.6666666667
"47",0.1666666667
"48",0.0
"49",0.9722222222
"50",0.9722222222
"51",0.6388888889
"52",0.6666666667
"53",0.4722222222
"54",0.9722222222
"55",0.9722222222
"56",0.7222222222
"57",0.9722222222
"58",0.9722222222
"59",0.9722222222
"60",0.9722222222
"61",0.9722222222
"62",0.5833333333
"63",0.4166666667
"64",0.0
"65",0.7777777778
"66",0.9722222222
"67",0.9722222222
"68",0.9722222222
"69",0.9722222222
"70",0.9722222222
"71",0.9722222222
"72",0.9722222222
"73",0.9166666667
"74",0.9722222222
"75",0.9722222222
"76",0.9722222222
"77",0.9722222222
"78",0.75
"79",0.9722222222
"80",0.9722222222
"81",0.7222222222
"82",0.4722222222
"83",0.6944444444
"84",0.9722222222
"85",0.9722222222
"86",0.9722222222
"87",0.6388888889
"88",0.8333333333
"89",0.0
"90",0.9722222222
"91",0.9722222222
"92",0.9166666667
"93",0.9722222222
"94",0.9722222222
"95",0.1388888889
"96",0.0
"97",0.4722222222
"98",0.8888888889
"99",0.5
"100",0.6111111111
"101",0.9722222222
"102",0.6388888889
"103",0.7222222222
"104",0.9722222222
"105",0.9722222222
"106",0.5833333333
"107",0.9722222222
"108",0.9722222222
"109",0.9722222222
"110",0.9722222222
"111",0.0
"112",0.9722222222
"113",0.7777777778
"114",0.6388888889
"115",0.9722222222
"116",0.9722222222
"117",0.6666666667
"118",0.8888888889
